"ActivityDT","ActivityActivity","SourceHost","SourceDatabase","SourceTable"
"01/03/2008",101,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/03/2009",52,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/03/2010",104,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/03/2011",161,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/03/2012",205,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/03/2013",165,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/03/2014",88,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/03/2015",52,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/03/2016",89,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/03/2017",100,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/04/2007",49,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/04/2008",151,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/04/2009",139,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/04/2010",139,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/04/2011",118,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/04/2012",49,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/04/2013",47,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/04/2014",87,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/04/2015",113,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/04/2016",124,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/04/2017",58,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/05/2007",122,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/05/2008",147,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/05/2009",157,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/05/2010",81,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/05/2011",45,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/05/2012",121,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/05/2013",136,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/05/2014",150,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/05/2015",119,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/05/2016",49,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/05/2017",56,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/06/2006",99,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/06/2007",173,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/06/2008",89,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/06/2009",56,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/06/2010",83,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/06/2011",121,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/06/2012",150,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/06/2013",74,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/06/2014",51,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/06/2015",88,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/06/2016",98,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/07/2006",55,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/07/2007",34,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/07/2008",100,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/07/2009",162,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/07/2010",134,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/07/2011",127,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/07/2012",58,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/07/2013",62,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/07/2014",102,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/07/2015",107,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/07/2016",85,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/08/2006",102,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/08/2007",85,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/08/2008",101,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/08/2009",63,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/08/2010",34,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/08/2011",79,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/08/2012",103,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/08/2013",90,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/08/2014",174,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/08/2015",66,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/08/2016",104,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/09/2006",97,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/09/2007",67,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/09/2008",107,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/09/2009",111,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/09/2010",131,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/09/2011",109,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/09/2012",53,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/09/2013",61,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/09/2014",98,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/09/2015",101,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/09/2016",96,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/10/2006",35,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/10/2007",89,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/10/2008",110,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/10/2009",109,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/10/2010",156,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/10/2011",98,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/10/2012",104,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/10/2013",87,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/10/2014",118,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/10/2015",152,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/10/2016",81,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/11/2006",118,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/11/2007",122,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/11/2008",33,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/11/2009",58,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/11/2010",111,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/11/2011",122,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/11/2012",188,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/11/2013",237,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/11/2014",52,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/11/2015",55,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/11/2016",79,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/12/2006",87,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/12/2007",68,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/12/2008",89,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/12/2009",132,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/12/2010",138,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/12/2011",94,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/12/2012",65,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/12/2013",94,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/12/2014",100,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/12/2015",63,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"01/12/2016",85,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/01/2007",89,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/01/2008",120,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/01/2009",104,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/01/2010",53,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/01/2011",97,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/01/2012",42,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/01/2013",119,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/01/2014",72,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/01/2015",99,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/01/2016",72,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/01/2017",44,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/02/2007",111,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/02/2008",63,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/02/2009",87,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/02/2010",115,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/02/2011",94,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/02/2012",121,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/02/2013",76,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/02/2014",77,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/02/2015",50,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/02/2016",72,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/02/2017",123,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/03/2007",94,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/03/2008",84,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/03/2009",107,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/03/2010",123,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/03/2011",98,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/03/2012",113,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/03/2013",58,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/03/2014",35,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/03/2015",94,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/03/2016",124,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/03/2017",88,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/04/2007",107,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/04/2008",117,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/04/2009",150,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/04/2010",58,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/04/2011",81,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/04/2012",74,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/04/2013",86,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/04/2014",129,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/04/2015",113,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/04/2016",44,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/04/2017",44,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/05/2007",108,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/05/2008",129,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/05/2009",92,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/05/2010",59,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/05/2011",77,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/05/2012",152,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/05/2013",167,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/05/2014",129,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/05/2015",65,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/05/2016",53,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/05/2017",77,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/06/2006",116,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/06/2007",55,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/06/2008",171,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/06/2009",98,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/06/2010",108,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/06/2011",180,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/06/2012",72,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/06/2013",53,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/06/2014",94,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/06/2015",120,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/06/2016",86,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/07/2006",50,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/07/2007",78,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/07/2008",133,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/07/2009",133,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/07/2010",129,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/07/2011",63,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/07/2012",103,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/07/2013",120,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/07/2014",123,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/07/2015",147,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/07/2016",44,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/08/2006",72,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/08/2007",102,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/08/2008",64,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/08/2009",70,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/08/2010",80,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/08/2011",153,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/08/2012",141,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/08/2013",125,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/08/2014",58,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/08/2015",65,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/08/2016",127,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/09/2006",52,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/09/2007",44,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/09/2008",85,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/09/2009",189,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/09/2010",229,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/09/2011",124,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/09/2012",42,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/09/2013",55,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/09/2014",123,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/09/2015",84,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/09/2016",102,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/10/2006",118,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/10/2007",67,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/10/2008",125,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/10/2009",141,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/10/2010",88,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/10/2011",55,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/10/2012",109,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/10/2013",109,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
"02/10/2014",120,"oxnetdwp01.oxnet.nhs.uk","BloodTrack_ARCHIVE","vw_BloodStatus"
