"mapping_action","map_operation","source_host","source_schema","source_db","target_host","target_schema","target_db","table_name"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Exudate"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","OPCS codes"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Open_close"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Organ_space_site"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","PA_clinic"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Procedure_category"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Proph_ABs_prior"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Sex"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Skin_prep"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","SSI detection"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","SSI type"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Surgeon grades"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Surgery type"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","surveillance"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Wards"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Wound class"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - Cardiac surveillance","OXNETDWP01","raw","Cardiac_Surveillance_ARCHIVE","Yes_No_NA"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","A_DvtProphylaxis"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","A_PtBsiBundleMeasure"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","A_PtBsiBundleSummary"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","A_PtDvtProphylaxis"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","A_PtDVTProphylaxisSummary"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","A_PtGlucose"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","A_PtHeadOfBedElevation"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","A_PtLineInsertion"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","A_PtSudProphylaxis"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","A_PtVentBundleMeasure"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","A_PtVentBundleSummary"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Activity"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","ActivityMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Cardiovascular"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","CardiovascularMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","CharacteristicType"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","ClinicalCode"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","ClinicalCodeCategory"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","CodingSystem"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","CodingSystemCrossMap"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","CodingSystemCrossMapSet"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Concept"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","ConceptDuplicates"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","ConceptStatus"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Allergy"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Attribute"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Bed"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_CareProvider"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Case"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Category"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_ClinicalUnit"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_DataFocus"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Day"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Diagnosis"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Document"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Encounter"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Intervention"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Material"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_MaterialCategory"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Order"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Service"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Shift"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Site"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_System"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","D_Time"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","DescriptionStatus"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","DescriptionType"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Drains"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","DrainsMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Events"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","EventsMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Gastrointestinal"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","GastrointestinalMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","GenitoUrinary"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","GenitourinaryMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","ICIPCode"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Integumentary"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","IntegumentaryMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Invasive Lines"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","InvasiveLinesMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Moderate Sedation"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","ModerateSedationMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Musculoskeletal"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","MusculoskeletalMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Neurological"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","NeurologicalMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Nursing Admission"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","NursingAdmissionMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Pain Assessment"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PainAssessmentMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Psychosocial"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PsychosocialMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtAdvisory"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtAllergy"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtAssessment"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtBedStay"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtCareOrder"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtCareProvider"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtCensus"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtDemographic"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtDiagnosis"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtDiagnostic"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtDiagnosticOrder"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtDietaryOrder"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtDocument"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtIntake"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtIntakeOrder"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtIntervention"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtLabOrder"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtLabResult"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtMaterial"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtMedication"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtMedicationOrder"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtOrder"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtRespiratoryOrder"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtService"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtSiteCare"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtTotalBalance"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtTreatment"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PtVentilation"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Pulmonary"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","PulmonaryMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Refinability"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Relationship"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Respiratory"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","RespiratoryMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Risk Assessment"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","RiskAssessmentMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","RSSA"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","RSSAMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Safety"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","SafetyMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","Scores"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - CIS Reporting","OXNETDWP01","raw","CIS_Reporting_EXTRACT","ScoresMatched"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","OLE DB Destination"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","OLE DB Destination 1"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","OLE DB Destination 2"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","OLE DB Destination 3"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","OLE DB Destination 4"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","OLE DB Destination 5"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","OLE DB Destination 6"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","OLE DB Destination 7"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","OLE DB Destination 8"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","OLE DB Destination 9"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","TblDGBOxRegisteredPatientsForOxCS"
"onboard_all","TRUNCATE + APPEND","SUGI","dbo","PSS RAW - community","OXNETDWP01","raw","Community_ARCHIVE","temphosp"
"onboard_Archived_NOC_Activity","TRUNCATE+APPEND","SUGI","dbo","PSS RAW - old noc","OXNETDWP01","raw","NOC_Activity_ARCHIVE","inpatientHistory"
"onboard_Archived_NOC_Activity","TRUNCATE+APPEND","SUGI","dbo","PSS RAW - old noc","OXNETDWP01","raw","NOC_Activity_ARCHIVE","inpatientHistoryF"
"onboard_Archived_NOC_Activity","TRUNCATE+APPEND","SUGI","dbo","PSS RAW - old noc","OXNETDWP01","raw","NOC_Activity_ARCHIVE","linkagedataHistory"
