"ActivityDT","ChartEvents","SourceHost","SourceDatabase","SourceTable"
"01/05/2008",13941,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/06/2000",11776,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/06/2001",13074,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/06/2002",15385,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/06/2003",11441,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/06/2004",18399,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/06/2005",19243,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/06/2006",12788,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/06/2007",14565,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/06/2008",19595,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/07/1999",1392,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/07/2000",14441,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/07/2001",11966,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/07/2002",11148,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/07/2003",17221,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/07/2004",18836,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/07/2005",16662,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/07/2006",13896,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/07/2007",16558,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/08/1999",11021,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/08/2000",13104,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/08/2001",1264,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/08/2002",15597,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/08/2003",17225,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/08/2004",13460,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/08/2005",12198,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/08/2006",14617,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/08/2007",18049,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/09/1999",13732,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/09/2000",14786,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/09/2001",13066,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/09/2002",13746,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/09/2003",15394,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/09/2004",13554,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/09/2005",16694,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/09/2006",16475,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/09/2007",13336,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/10/1999",10246,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/10/2000",13666,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/10/2001",8549,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/10/2002",13967,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/10/2003",15403,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/10/2004",15988,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/10/2005",17088,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/10/2006",16922,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/10/2007",9032,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/11/1999",12827,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/11/2000",12385,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/11/2001",12555,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/11/2002",13645,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/11/2003",14111,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/11/2004",15205,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/11/2005",17325,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/11/2006",16771,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/11/2007",11477,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/12/1999",7739,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/12/2000",14619,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/12/2001",12659,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/12/2002",17546,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/12/2003",8279,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/12/2004",13792,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/12/2005",14939,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/12/2006",14545,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"01/12/2007",16847,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/01/2000",13325,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/01/2001",14400,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/01/2002",12907,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/01/2003",16304,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/01/2004",16664,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/01/2005",12692,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/01/2006",13417,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/01/2007",13194,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/01/2008",15579,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/02/2000",11423,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/02/2001",13940,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/02/2002",16539,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/02/2003",14261,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/02/2004",18229,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/02/2005",14240,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/02/2006",14111,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/02/2007",12938,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/02/2008",13440,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/03/2000",8006,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/03/2001",14155,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/03/2002",12930,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/03/2003",12603,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/03/2004",15748,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/03/2005",14614,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/03/2006",16565,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/03/2007",17429,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/03/2008",18578,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/04/2000",12964,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/04/2001",10263,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/04/2002",13612,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/04/2003",17155,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/04/2004",19560,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/04/2005",16767,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/04/2006",13280,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/04/2007",14498,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/04/2008",15513,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/05/2000",11758,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/05/2001",14884,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/05/2002",14487,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/05/2003",11264,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/05/2004",16657,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/05/2005",10328,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/05/2006",16998,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/05/2007",17824,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/05/2008",13593,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/06/2000",11909,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/06/2001",14085,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/06/2002",13667,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/06/2003",13196,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/06/2004",18931,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/06/2005",18742,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/06/2006",15131,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/06/2007",15954,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/06/2008",18828,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/07/1999",1410,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/07/2000",14119,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/07/2001",11342,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/07/2002",12361,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/07/2003",17105,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/07/2004",21660,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/07/2005",17375,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/07/2006",14159,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/07/2007",15579,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/08/1999",10522,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/08/2000",12479,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/08/2001",1214,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/08/2002",14319,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/08/2003",1887,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/08/2004",13742,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/08/2005",15909,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/08/2006",14686,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/08/2007",17013,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/09/1999",13401,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/09/2000",13464,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/09/2001",14272,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/09/2002",15168,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/09/2003",18346,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/09/2004",13781,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/09/2005",14851,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/09/2006",17382,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/09/2007",12500,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/10/1999",12481,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/10/2000",15370,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/10/2001",9936,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/10/2002",14860,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/10/2003",16389,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/10/2004",16706,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/10/2005",17602,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/10/2006",16078,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/10/2007",8670,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/11/1999",11792,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/11/2000",13373,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/11/2001",12407,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/11/2002",11742,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/11/2003",11861,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/11/2004",16512,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/11/2005",13952,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/11/2006",15351,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/11/2007",9608,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/12/1999",7039,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/12/2000",16076,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/12/2001",10934,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/12/2002",18915,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/12/2003",8566,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/12/2004",13557,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/12/2005",12990,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/12/2006",13868,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"02/12/2007",14222,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/01/2000",13624,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/01/2001",13497,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/01/2002",13760,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/01/2003",19222,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/01/2004",15636,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/01/2005",15915,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/01/2006",14384,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/01/2007",14232,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/01/2008",16535,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/02/2000",14291,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/02/2001",11664,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
"03/02/2002",15708,"oxnetdwp01.oxnet.nhs.uk","Carevue_Old_ARCHIVE","CAHARTEVENTS"
